	Das Gilgamesh-epos	Beck
Shakespeare, William	Henry V	Simon and Schuster
Shakespeare, William	Macbeth	reclam
Shakespeare, William	Much Ado about Nothing	Spark Notes
Shakespeare, William	Othello	Dover
Shakespeare, William	Pericles	Arden
Shakespeare, William	Romeo and Juliett	Penguin
Shakespeare, William	The Complete Shakespeare	Penguin
Singer, Peter	Marx	Oxford
Sophokles	Antigone	reclam
Sophokles	Koenig Ödipus	reclam
Spierling, Volker	Arthur Schopenhauer zur Einführung	Junius
Spinoza, Baruch	Politischer Traktat	Meiner
Steinbeck, John	Die Straße der Ölsardinen	dtv
Steinbeck, John	East of Eden	Penguin
Steinbeck, John	East of Eden	Penguin
Steinbeck, John	The Grapes of Wrath	Penguin
Steinbeck, John	The Vigilante	Penguin
Stendhal	Rot und Schwarz	dtv
Stevenson, Robert Louis	Die Schatzinsel	Buechergilde
Strindberg, August	Totentanz	reclam
Strindberg, August	Fräulein Julie	reclam
Strindberg, August	Ein Traumspiel	reclam
Styron, William	Sophie's Choice	Vintage
Suhr, Martin	Jean-Paul Sartre zur Einführung	Junius
Swift, Jonathan	Gullivers Reisen	Arena
Sword, Helen	Stylish Academic Writing	Marvard
Süskind, Patrick	Das Parfum	Diogenes
Taleb, Nicholas	Black Swan 	Penguin
Tanner, Michael	Nietzsche	Oxford
Butler, Christoph	Postmodernism	Oxford
von Eichendorff, Joseph	Aus dem Leben eines Taugenichts	Fischer
Xenophon	Anabasis	Reclam
Thomas, Dylan	A Child's Christmas in Wales	Orion
Thomas, Dylan	Portrait of the Artist as a Young Dog	Phoenix
Thomas, Dylan	Rebeccas Töchter	Heyne
Thompson, Hunter	Hell's Angels	Penguin
Thompson, Hunter	Rum Diary	Bloomsbury
Thoreau, Henry David	Essays and Poems	Library of America
Thoreau, Henry David	Major Works	Library of America
Thoreau, Henry David	Walden	Diogenes
Thoreau, Henry David	Über die Pflicht zum Ungehorsam gegen den Staat	Diogenes
Tindall, William	York A Reader’s Guide to Finnegans Wake	Irish Studies
Tolkien, J.R.R	Der Hobbit	dtv
Tolkien, J.R.R 	Der Herr der Ringe	Klett
Tolkien, J.R.R 	The Hobbit	Harper Collins
Tolkien, J.R.R.	Das Silmarillion	Klett-Cotta
Tolkien, J.R.R.	Lord of the Rings	Harper Collins
Tolstoi, Leo	Herr und Knecht	dtv
Tolstoi, Leo	Krieg und Frieden	atb
Cox, Gary	How to be an Existentialist	Bloomsbury
Kaag, John	American Philosophy	FSG
Twain, Mark	A Tramp Abroad, Following the Equator and Other Travels	Library of America
Twain, Mark	Ein Yankee an König Artus Hof	atb
Vergil	Aeneis	Holzinger
Verne, Jules	Reise um die Erde in 80 Tagen	Büchergilde
Verne, Jules	Zwei Jahre Ferien	Fischer
Voltaire	Candid	reclam
Voltaire	Mikromegas	Buechergilde
Vonnegut, Kurt	Slaughterhouse Five	Dill
Wallace, Lewis	Ben Hur	Kaiser
Walser, Martin	Das Leben wortwörtlich	rororo
Wedekind, Frank	Lulu und Frühlingserwachen	Fischer
Weinkauf, Wolfgang	Die Philosophie der Stoa	reclam
